Document ID,comment_text,sample_type,gold_topics,gold_stance,emerging_notes
MARAD-2019-0093-0339,I am in support of this project because of the company's operating experience of such a facility and they have a proven track record with safety and the environmental impact of this type of project. The project will create numerous jobs and opportunities for the entire Gulf Coast region.,rare_oversample,national_interest,support,
MARAD-2019-0093-2073,"Projects, like Texas GulfLink, present a safe alternative to moving crude oil and should be given every consideration. The proposed project provides a better choice for our environment and would make a positive impact to the Gulf Coast, especially Texas and Louisiana. I thoroughly support this initiative.",rare_oversample,oil_spill_risk,support,
MARAD-2019-0093-8765,"The Texas GulfLink project brings big risks that outweigh any benefits. It's planned for a flood-prone area and relies on old fossil fuel infrastructure, which could make climate change worse, increase pollution, and put Gulf Coast communities at risk. Instead of helping us move toward cleaner energy, this project would just keep us hooked on fossil fuels. It also unfairly targets low-income and minority communities that are already dealing with pollution and climate disasters. Approving GulfLink would mean locking in harmful emissions for decades, increasing the chance of oil spills, and damaging important wildlife habitats—all at a time when the demand for oil is expected to drop. This project isn't good for the country and should be rejected in favor of cleaner, safer energy options that take care of people and the planet.",rare_oversample,oil_spill_risk|climate_emissions|environmental_justice|marine_wildlife|national_interest,oppose,flood_risk
MARAD-2019-0093-10426,"The proposed Texas GulfLink oil export terminal should not be approved. Missing from the final environmental impact statement released by MARAD is information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. GulfLink is one of four proposed oil export terminal projects in different permitting stages. There are also close to 20 methane gas LNG export terminals in various stages of development, and many new petrochemical plants proposed in the coastal area. These projects are sited in low-income communities, communities of color, and on Indigenous lands due to decades of economic disenfranchisement and systemic racism. These same communities are also the hardest hit by the climate crisis, which is caused by the emissions from fossil fuel production and use. Communities where the proposed oil and gas export expansion is concentrated suffer from increased rates of asthma, respiratory illness, and cancer. This is the direct result of decades of federal authorizations to construct and operate fossil fuel and other industrial facilities in and along the Gulf of Mexico. Adding thirty more years of polluting oil and gas infrastructure flouts the Administration’s commitments to reverse this toxic legacy. If GulfLink is licensed and then operates at full capacity for its expected 30-year lifespan, it will b0e the source of 3.8 billion metric tons of greenhouse gas emissions. This will push the world closer to climate tipping points. It is clear that we need to phase out fossil fuels to avoid even more tragic climate disasters like fires, hurricanes, and heat waves. The International Ene",rare_oversample,climate_emissions|air_quality|environmental_justice,oppose,"public_health, environmental_review, NEPA_process, flood_risk"
MARAD-2019-0093-2848,"As a teacher of high school students, I have an organization called SPAA (Students Protecting America's Animals) and The Environmental Group and we work diligently to address the harm being done to the earth and animals in the world. You are in control of decisions that can either continue down the road to certain disaster or think of future generations and what is best in the long run for all of them. Here are some concerns: 1. The crude oil storage tanks that will be smack dab in the middle of Jones Creek in an area prone to flooding, will be huge - capable of storing 750,000 barrels each tank so with 12 tanks that is 9 million barrels. This area is subsiding and Jones Creek was a school was not allowed to be built due to the flooding. 2. The emissions from these storage tanks are toxic. People will lose their property value. This will alter the area just as it has been altered by the power plants in the area. People that can will leave and it will go from a gorgeous, beautiful environment to a dead zone 3. The pipelines go through wetlands, Justin Hearst WMA, and fragile ecosystems into the Gulf of Mexico, 30 miles offshore. There are many pipelines already in the Gulf. 4. When a hurricane arrives, which it will the intensity of waves and mud will bend the pipelines lines. The clean up will be the responsibility of the U.S. Coast Guard. This comes back to the individual who pays taxes. Why would anyone approve such a problematic pipeline? It is a money call and at some point we have to put our children and grandchildren ahead of this focus! https://www.nytimes.com/2021/09/06/climate/oil-spill-ida-gulf-of-mexico.html",rare_oversample,oil_spill_risk|air_quality|marine_wildlife|wetlands_coast,oppose,"property_value, flood_risk"
MARAD-2019-0093-0329,I am commenting in support of the Texas GulfLink project. Pipeline transportation of crude oil is proven to be the safest method of moving this critical commodity. Texas GulfLink has a proven leadership team of industry professionals that have experience in constructing and operating a deepwater oil port. This project will bring jobs and economic value to the Houston area and the Gulf Coast. It ensures that the U.S. remains energy independent. I am fully in support of this project.,rare_oversample,oil_spill_risk|national_interest,support,
MARAD-2019-0093-8164,"Please do not approve a license for the Texas Gulf Link Project. I object to this because: 1. It will lock in more fossil fuel funding for years to come. Why not approved wind and solar projects instead. We cannot afford yet more climate warming from fossil fuels. 2. This project will further harm the communities in which it is sited. These communities already experience higher cancer rates, degraded landscapes, lower economic returns, and loss of natural habitat, among other consequences. It is not fair to continue polluting these communities. 3. The environmental impact statement supplied by MARAD does not provide critical information to allow complete analysis of its impact on the environment. Do not approve a license for the Texas GulfLink project. Thank you, Nancy Rodenborg Saint Paul, MN 55105",rare_oversample,climate_emissions,oppose,"public_health, environmental_review"
MARAD-2019-0093-9856,"To whom it may concern, This is wrong. What will we do when we can’t eat money? I know you think you’re a drop in the bucket but we are on the verge of environmental collapse. Every step to stop fossil fuels matters to the future generations. Think of the children. I am writing to urge MARAD to halt the approval of the Texas GulfLink project. The project is projected to emit 3.8 billion metric tons of [greenhouse gases](https://www.theguardian.com/business/2023/feb/21/joe-biden-oil-terminals-texas-carbon-bombs-fossil-fuels) over its 30-year life span. This is incompatible with national and international emissions targets and a severe threat to the climate. The International Energy Agency has warned that no new fossil fuel infrastructure can be built to avoid dangerous global heating. The final environmental impact statement (FEIS) released by MARAD fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. Acres of sensitive wetlands, marshes, and prairies that provide safe shelter for millions of migratory birds and endangered sea turtles will be disrupted or destroyed if GulfLink is approved. The project also increases the risk of oil spills, in an area where threatened or endangered species and communities are still recovering from the impacts of the devastating 2010 Deepwater Horizon oil spill. GulfLink would disrupt sea turtle critical habitat with increased ship traffic and construction of the pipeline and terminal, and an oil spill would destroy the nesting grounds of the critically endangered Kemp’s ridley sea turtle. The FEIS wrongfully as",rare_oversample,oil_spill_risk|climate_emissions|marine_wildlife|wetlands_coast,oppose,"environmental_review, NEPA_process"
MARAD-2019-0093-7672,Our current climate disasters help. Remind us that we need to find renewable energy and stop relying on fossil fuels. Please do not approve the Texas GulfLink project. I believe protecting our environment is justice for the peoples of our world.,rare_oversample,climate_emissions,oppose,
MARAD-2019-0093-8771,"Please do not approve the GulfLink project. Projects like these are extremely harmful to the environment and have severe negative impacts on local communities. Texas and the USA should focus on innovating sustainable energy infrastructure instead of relying on short-sited, environmentally harmful fossil fuel projects. Please prioritize people and the planet over corporate profits by saying no to the GulfLink project. Thank you, Sara Baggett",rare_oversample,climate_emissions,oppose,
